RAL Code,Calyco Name,Hex Code,Color Family,Tone,Layer,Sheen,Collection,Interior Use,Exterior Use,Mood,Light Reflectance,Undertone,Popularity,Contractor,Designer,Uses
RAL 3018,Strawberry Red,#D53032,Reds & Pinks,Warm,Editorial,Matte,Designer Reds,"Dining, Accent Walls",Modern Buildings,"Juicy, Energetic, Bold",40-45%,Red,Low,No,Yes,"Interior, Exterior"
RAL 3027,Raspberry Red,#C51D34,Reds & Pinks,Warm,Editorial,Matte,Designer Reds,"Accent Walls, Retail",Commercial Buildings,"Punchy, Bold, Contemporary",35-40%,Red,Low,No,Yes,"Interior, Exterior"
RAL 3031,Orient Red,#B32428,Reds & Pinks,Warm,Editorial,Matte,Designer Reds,"Accent Walls, Theaters",Dramatic Architecture,"Intense, Deep, Exotic",28-33%,Red,Low,No,Yes,"Interior, Exterior"
RAL 3013,Vermillion Spice,#A12312,Reds & Pinks,Warm,Signature,Matte/Satin,Heritage Collection,"Feature Walls, Cultural",Heritage Properties,"Festive, Cultural, Bold",30-35%,Red,Medium,No,Yes,"Interior, Exterior"
RAL 3007,Rajasthani Pink,#412227,Reds & Pinks,Warm,Signature,Matte,Heritage Collection,"Bedrooms, Living Rooms",Cultural Buildings,"Cultural, Earthy, Elegant",50-55%,Terracotta,Medium,No,Yes,"Interior, Exterior"
RAL 3011,Lotus Pink,#7E2121,Reds & Pinks,Cool,Signature,Matte,Heritage Collection,"Nurseries, Bedrooms",Cultural Buildings,"Graceful, Gentle, Cultural",60-65%,Pink,Medium,No,Yes,"Interior, Exterior"
RAL 4006,Traffic Purple,#A03472,Purples & Violets,Cool,Foundation,Matte,Essential Purples,"Accent Walls, Creative Spaces",Modern Buildings,"Vivid, Modern, Bold",25-30%,Magenta,Low,Yes,Yes,"Interior, Exterior"
RAL 4008,Signal Violet,#924E7D,Purples & Violets,Cool,Foundation,Matte,Essential Purples,"Accent Walls, Retail",Commercial Buildings,"Violet, Punchy, Modern",28-33%,Violet,Low,Yes,Yes,"Interior, Exterior"
RAL 4009,Pastel Violet,#A18594,Purples & Violets,Cool,Foundation,Matte,Essential Purples,"Bedrooms, Studios",Residential Buildings,"Soft, Muted, Calm",45-50%,Violet,Medium,Yes,Yes,"Interior, Exterior"
RAL 4001,Red Lilac,#6D3F5B,Purples & Violets,Warm,Editorial,Matte,Designer Purples,"Accent Walls, Lounges",Boutique Interiors,"Deep, Layered, Artistic",25-30%,Red-Violet,Low,No,Yes,"Interior, Exterior"
RAL 4002,Red Violet,#922B3E,Purples & Violets,Warm,Editorial,Matte,Designer Purples,"Theaters, Accent Walls",Dramatic Interiors,"Moody, Luxurious, Bold",20-25%,Red-Violet,Low,No,Yes,"Interior, Exterior"
RAL 4003,Heather Violet,#DE4C8A,Purples & Violets,Cool,Editorial,Matte,Designer Purples,"Bedrooms, Creative Spaces",Modern Interiors,"Fresh, Floral, Creative",50-55%,Pink,Medium,No,Yes,"Interior, Exterior"
RAL 4004,Claret Violet,#641C34,Purples & Violets,Warm,Editorial,Matte,Designer Purples,"Libraries, Cozy Dens",Traditional Interiors,"Rich, Dramatic, Deep",12-17%,Wine,Low,No,Yes,"Interior, Exterior"
RAL 4005,Blue Lilac,#6C4675,Purples & Violets,Cool,Editorial,Matte,Designer Purples,"Bedrooms, Feature Walls",Contemporary Interiors,"Calm, Lavender, Balanced",35-40%,Violet,Medium,No,Yes,"Interior, Exterior"
RAL 4007,Royal Mauve,#4A192C,Purples & Violets,Cool,Signature,Matte,Heritage Collection,"Accent Walls, Lounges",Cultural Interiors,"Regal, Cultural, Refined",25-30%,Magenta,Low,No,Yes,"Interior, Exterior"
RAL 4010,Mystic Violet,#CF3476,Purples & Violets,Cool,Signature,Matte,Heritage Collection,"Feature Walls, Niche Areas",Cultural Interiors,"Mystic, Cultural, Elegant",28-33%,Violet,Low,No,Yes,"Interior, Exterior"
RAL 1001,Beige,#C2B078,Beiges & Tans,Warm,Foundation,Matte,Essential Beiges,"Living Rooms, Bedrooms",Residential Facades,"Neutral, Warm, Versatile",60-65%,Beige,High,Yes,Yes,"Interior, Exterior"
RAL 1011,Brown Beige,#8A6642,Beiges & Tans,Warm,Foundation,Matte,Essential Beiges,"Hallways, Offices",Commercial Buildings,"Grounded, Natural, Classic",40-45%,Brown,High,Yes,Yes,"Interior, Exterior"
RAL 1035,Pearl Beige,#6A5D4D,Beiges & Tans,Cool,Foundation,Satin/Pearl,Essential Beiges,"Feature Walls, Accents",Modern Facades,"Elegant, Subtle, Contemporary",35-40%,Taupe,Medium,Yes,Yes,"Interior, Exterior"
RAL 1024,Ochre Yellow,#AE9D5C,Beiges & Tans,Warm,Foundation,Matte,Essential Beiges,"Living Rooms, Dining",Residential Buildings,"Warm, Earthy, Balanced",50-55%,Yellow,Medium,Yes,Yes,"Interior, Exterior"
RAL 1005,Honey Yellow,#A98307,Beiges & Tans,Warm,Foundation,Matte/Satin,Essential Beiges,"Feature Walls, Kitchens",Traditional Homes,"Golden, Cozy, Rich",40-45%,Gold,Medium,Yes,Yes,"Interior, Exterior"
RAL 1000,Green Beige,#BEBD7F,Beiges & Tans,Warm,Editorial,Matte,Designer Beiges,"Bedrooms, Studies",Modern Interiors,"Subtle, Natural, Calm",55-60%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 1020,Olive Yellow,#999950,Beiges & Tans,Warm,Editorial,Matte,Designer Beiges,"Accent Walls, Lounges",Residential Buildings,"Earthy, Muted, Soft",45-50%,Olive,Medium,No,Yes,"Interior, Exterior"
RAL 7036,Yellow Grey,#8F8B66,Beiges & Tans,Neutral,Editorial,Matte,Designer Beiges,"Offices, Hallways",Commercial Buildings,"Balanced, Subdued, Neutral",40-45%,Grey,Medium,No,Yes,"Interior, Exterior"
RAL 8000,Green Brown,#826C34,Beiges & Tans,Warm,Editorial,Matte,Designer Beiges,"Living Rooms, Studies",Natural Interiors,"Forest, Organic, Warm",35-40%,Green,Low,No,Yes,"Interior, Exterior"
RAL 1016,Sulfur Yellow,#EDFF21,Beiges & Tans,Warm,Editorial,Matte,Designer Beiges,"Kids Rooms, Accents",Modern Interiors,"Bright, Lively, Clean",80-85%,Yellow,Low,No,Yes,"Interior, Exterior"
RAL 1026,Luminous Yellow,#FFFF00,Beiges & Tans,Warm,Editorial,Matte,Designer Beiges,"Signage, Accents",High-Visibility Areas,"Neon, High-Impact, Clear",85-90%,Yellow,Low,No,Yes,"Interior, Exterior"
RAL 1022,Desert Sand,#C6A664,Beiges & Tans,Warm,Signature,Matte,Heritage Collection,"Bedrooms, Living Rooms",Cultural Interiors,"Timeless, Desert, Warm",60-65%,Beige,High,No,Yes,"Interior, Exterior"
RAL 1025,Sandstone,#A5A5A5,Beiges & Tans,Warm,Signature,Matte,Heritage Collection,"Living, Lounge",Cultural Interiors,"Stone, Earth, Classic",40-45%,Brown,High,No,Yes,"Interior, Exterior"
RAL 1009,Amber Honey,#E29000,Beiges & Tans,Warm,Signature,Satin,Heritage Collection,"Dining, Accents",Cultural Interiors,"Amber, Warm, Luxe",40-45%,Gold,Medium,No,Yes,"Interior, Exterior"
RAL 2004,Pure Orange,#F44611,Oranges,Warm,Foundation,Matte,Essential Oranges,"Accents, Creative Spaces",Commercial Buildings,"Bright, Energetic, Bold",40-45%,Orange,Medium,Yes,Yes,"Interior, Exterior"
RAL 2008,Bright Red Orange,#F75E25,Oranges,Warm,Foundation,Matte,Essential Oranges,"Accent Walls, Retail",Commercial Buildings,"Vivid, Punchy, Warm",45-50%,Orange,Medium,Yes,Yes,"Interior, Exterior"
RAL 2009,Traffic Orange,#F54021,Oranges,Warm,Foundation,Matte,Essential Oranges,"Signage, Accents",Commercial Buildings,"Clear, Visible, Warm",45-50%,Orange,Low,Yes,Yes,"Interior, Exterior"
RAL 2010,Signal Orange,#D84B20,Oranges,Warm,Foundation,Matte,Essential Oranges,"Accent Walls, Dining",Residential Buildings,"Warm, Spicy, Bold",38-43%,Orange,Medium,Yes,Yes,"Interior, Exterior"
RAL 2011,Deep Orange,#EC7C26,Oranges,Warm,Editorial,Matte,Designer Oranges,"Feature Walls, Retail",Modern Buildings,"Warm, Trendy, Vivid",45-50%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 2000,Yellow Orange,#ED760E,Oranges,Warm,Editorial,Matte,Designer Oranges,"Dining, Kitchens",Residential Buildings,"Golden, Appetizing, Warm",45-50%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 2001,Red Orange,#C93C20,Oranges,Warm,Editorial,Matte,Designer Oranges,"Accent Walls, Creative",Contemporary Interiors,"Bold, Punchy, Warm",35-40%,Red-Orange,Low,No,Yes,"Interior, Exterior"
RAL 2002,Vermillion,#CB2821,Oranges,Warm,Editorial,Matte,Designer Oranges,"Accent Walls, Signage",Bold Architecture,"Hot, Striking, Strong",30-35%,Red,Low,No,Yes,"Interior, Exterior"
RAL 2003,Pastel Orange,#FF7514,Oranges,Warm,Editorial,Matte,Designer Oranges,"Bedrooms, Kids",Residential Buildings,"Soft, Sunny, Fun",55-60%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 2012,Salmon Orange,#E55137,Oranges,Warm,Editorial,Matte,Designer Oranges,"Dining, Accents",Boutique Interiors,"Warm, Salmon, Friendly",45-50%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 2005,Marigold Flame,#FF2301,Oranges,Warm,Signature,Matte/Satin,Heritage Collection,"Festival Decor, Accents",Cultural Buildings,"Festive, Cultural, Warm",40-45%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 2007,Henna Orange,#FFA420,Oranges,Warm,Signature,Matte,Heritage Collection,"Accent Walls, Dining",Cultural Buildings,"Henna, Earthy, Warm",35-40%,Red-Orange,Low,No,Yes,"Interior, Exterior"
RAL 9005,Jet Black,#0A0A0A,Blacks & Deep Tones,Cool,Foundation,Matte,Deep Tones,"Accent Walls, Theaters",Exterior Accents,"Dramatic, Deep, Bold",2-5%,Neutral,Medium,Yes,Yes,"Interior, Exterior"
RAL 9004,Signal Black,#282828,Blacks & Deep Tones,Cool,Foundation,Matte,Deep Tones,"Accent Walls, Media Rooms",Exterior Accents,"Muted, Dark, Refined",4-7%,Neutral,Medium,Yes,Yes,"Interior, Exterior"
RAL 8022,Black Brown,#212121,Blacks & Deep Tones,Warm,Foundation,Matte,Deep Tones,"Libraries, Dens",Exterior Accents,"Cocoa, Deep, Cozy",5-8%,Brown,Low,Yes,Yes,"Interior, Exterior"
RAL 7024,Graphite Grey,#474A51,Blacks & Deep Tones,Cool,Foundation,Matte,Deep Tones,"Accent Walls, Offices",Exterior Trim,"Graphite, Urban, Sleek",10-15%,Blue-Grey,Medium,Yes,Yes,"Interior, Exterior"
RAL 7026,Granite Grey,#2F353B,Blacks & Deep Tones,Cool,Editorial,Matte,Deep Tones,"Feature Walls, Lofts",Modern Facades,"Granite, Industrial, Moody",8-12%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 7031,Blue Grey,#474B4E,Blacks & Deep Tones,Cool,Editorial,Matte,Deep Tones,"Offices, Studies",Modern Facades,"Steel, Blue-Grey, Calm",12-17%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 7043,Traffic Grey B,#4E5452,Blacks & Deep Tones,Cool,Editorial,Matte,Deep Tones,"Corridors, Utility",Urban Buildings,"Stoic, Neutral, Quiet",15-20%,Grey,Low,No,Yes,"Interior, Exterior"
RAL 9017,Carbon Shield,#1E1E1E,Blacks & Deep Tones,Cool,Signature,Matte/Satin,Urban Collection,"Accent Walls, Brand Areas",Exterior Accents,"Protective, Bold, Premium",2-5%,Neutral,Medium,No,Yes,"Interior, Exterior"
RAL 9007,Grey Aluminium,#8F8F8F,Specialty Metallics,Cool,Editorial,Metallic,Industrial Collection,"Feature Walls, Accents",Architectural Details,"Industrial, Sleek, Metallic",35-40%,Silver,Low,No,Yes,"Interior, Exterior"
RAL 9008,White Aluminium,#A5A5A0,Specialty Metallics,Cool,Editorial,Metallic,Industrial Collection,"Accents, Details",Architectural Details,"Aluminium, Modern, Clean",40-45%,Silver,Low,No,Yes,"Interior, Exterior"
RAL 7002,Silver Grey,#7E7B52,Specialty Metallics,Cool,Editorial,Satin,Industrial Collection,"Accents, Frames",Architectural Details,"Technical, Cool, Subtle",45-50%,Blue-Grey,Medium,No,Yes,"Interior, Exterior"
RAL 7045,Telegrey 1,#909090,Specialty Metallics,Cool,Editorial,Satin,Industrial Collection,"Offices, Showrooms",Modern Facades,"Neutral, Silvery, Clean",45-50%,Grey,Medium,No,Yes,"Interior, Exterior"
RAL 7046,Industrial Steel,#82898F,Specialty Metallics,Cool,Signature,Metallic,Industrial Collection,"Accents, Branding",Architectural Highlights,"Industrial, Premium, Bold",35-40%,Silver,Low,No,Yes,"Interior, Exterior"
RAL 7000,Machinery Grey,#78858B,Specialty Metallics,Cool,Signature,Satin,Industrial Collection,"Equipment Areas, Frames",Industrial Buildings,"Technical, Durable, Neutral",45-50%,Blue-Grey,Medium,No,Yes,"Interior, Exterior"
